station_name,lat,lon
"# Rowery skradzione Wrocław 2014","",""
"#Magazyn Wrocław 2020/21","",""
"#Magazyn Wrocław ebike 2021/22","",""
"#Piknik miejski 2021","",""
"#Rowery zapasowe Warszawa","",""
".GOTOWE DO REZERWACJI","",""
.RELOKACYJNA,"",""
".RELOKACYJNA 2020","",""
".RELOKACYJNA 2022","",""
".RELOKACYJNA A1-4","",""
".SAMOCHÓD 1",,
".SAMOCHÓD 2",,
".SAMOCHÓD 3",,
".SERWIS - POMOSTÓWKA",,
".SERWIS - ŁADOWANIE","",""
3M,51.1277,17.11456
"Akademia Wojsk Lądowych",51.141921,17.055193
"Aleja Bielany",51.048391,16.961699
"Aleja Hallera / Mielecka",51.089315,17.001501
"Aleja Kromera",51.132259,17.065453
"Amazon WRO2",51.034956,16.950763
Aquapark,51.0888621,17.0340695
Arena,51.0950308,17.02727
"Arena - Komandorska",51.0950308,17.02727
Arkady,51.1015635,17.0297295
"Armii Krajowej - Borowska",51.0835417,17.0352193
"Armii Krajowej/Kaczorowskiego","",""
"Arsenał - Nowe Horyzonty",,
Awicenny,51.081686,16.956292
"BIKE 590003",51.262049,16.818262
"BIKE 590004",51.160302,16.902733
"BIKE 590005",51.110107,16.951868
"BIKE 590007",51.128604,16.792298
"BIKE 590012",51.130062,17.092379
"BIKE 590023",51.107489,17.04179
"BIKE 590024",51.113924,17.022656
"BIKE 590026",51.11796,16.96302
"BIKE 590030",51.1766,17.179238
"BIKE 590034",51.139044,16.758989
"BIKE 590035",51.114582,17.057722
"BIKE 590037",51.155289,16.91436
"BIKE 590040",51.055769,17.008587
"BIKE 590041",51.162009,17.052744
"BIKE 590043",51.088502,17.131773
"BIKE 590046",51.196267,16.938224
"BIKE 590048",51.093813,16.986063
"BIKE 590051",51.106382,16.999859
"BIKE 590052",51.087102,17.000053
"BIKE 590054",51.022871,16.908824
"BIKE 590056",51.101596,16.823317
"BIKE 590057",51.151449,16.940207
"BIKE 590058",50.552382,18.219211
"BIKE 590059",51.106387,16.903564
"BIKE 590061",51.091147,16.86554
"BIKE 590062",51.686662,16.925464
"BIKE 590063",51.115493,16.912574
"BIKE 590066",51.190084,16.953478
"BIKE 590067",51.109547,17.119839
"BIKE 590070",51.197356,17.272844
"BIKE 590072",51.111711,17.027127
"BIKE 590074",51.115436,17.052866
"BIKE 590076",51.195142,16.91007
"BIKE 590077",51.164453,16.984461
"BIKE 590079",51.105747,16.962931
"BIKE 590084",51.193009,16.793764
"BIKE 590088",51.114378,16.890604
"BIKE 590091",51.094187,17.141321
"BIKE 590092",51.076311,17.043476
"BIKE 590093",51.211058,16.6879
"BIKE 590095",51.117276,17.116139
"BIKE 590097",51.08636,17.053253
"BIKE 590098",51.124,17.14765
"BIKE 590099",51.116649,16.995829
"BIKE 590106",51.105062,16.903812
"BIKE 590107",51.844467,17.185219
Bacciarellego,51.105578,17.111316
"Bacciarellego / pętla autobusowa",51.10224,17.11645
"Bajana - Szybowcowa",51.1300268354605,16.9660483331061
"Bajana / Szybowcowa",51.13004,16.96605
"Bardzka (cmentarz)",51.07217,17.05281
"Bardzka / Piękna",51.085034,17.04932
"Bałtycka / Żmigrodzka",51.13959,17.03216
"Berenta / Kasprowicza",51.138463,17.059804
"Bezpieczna / Obornicka",51.14156,17.02587
"Bezpieczna/Jugosławiańska",51.13894,17.02028
"Bielany Wrocławskie Kolejowa P&R",,
Bierutowska,51.152216,17.13217
"Bogatyńska / Turoszowska",51.153669,16.944094
"Boguszowska / Kosmonautów",51.14395,16.89012
"Boiskowa / Koreańska",51.049944,17.082919
Boranta,"",""
"Borowska (Uniw. Szpital Kliniczny)",51.074868,17.032457
"Borowska / Kamienna (Aquapark)",51.088908,17.034051
"Botaniczna (Ogród botaniczny - Mini ZOO) ","",""
"Braci Niemojowskich/Szkoła","",""
"Buforowa - Vivaldiego",51.051546,17.059094
"Bułgarska",51.1357268,17.0271556
"Bułgarska / Marcelińska","",""
"Bystrzycka / Idzikowskiego",51.12658,16.95499
"Centrum Handlowe Auchan Bielany",51.052723,16.968801
"Centrum Handlowe Borek",51.088489,16.9982133019807
"Centrum Przesiadkowe","",""
"Centrum Przesiadkowe ","",""
"Chałubińskiego / Mikulicza-Radeckiego",51.111356,17.067636
"Cm. Miejski","",""
"Cmentarz Tyniecki","",""
Czarnuszkowa/Waniliowa,51.18079,16.999845
"Czekoladowa / Wałbrzyska",51.06404,16.97753
"DCF - Nowe Horyzonty",,
"Dalimira/Pęgowska",51.196906,16.974741
Dmowskiego/Stablewskiego,"",""
Dobrzecka/Reja,"",""
"Dobrzykowice ul. Szkolna",,
