UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
198829952,603794,2023-09-07 23:49:46,2023-09-08 00:00:24,Rynek,Traugutta / Kościuszki,11
198829949,603955,2023-09-07 23:49:42,2023-09-08 00:00:26,Piłsudskiego 13 od Jump Hall,Szewska / Kazimierza Wielkiego ,11
198830025,604207,2023-09-07 23:50:52,2023-09-08 00:00:26,Gliniana / Gajowa,Poza stacją,10
198830453,603171,2023-09-07 23:57:06,2023-09-08 00:00:52,Kazimierza Wielkiego (Helios),Poza stacją,4
198830334,602755,2023-09-07 23:55:24,2023-09-08 00:00:58,al. Armii Krajowej / Bardzka,Świeradowska (Ferio Gaj ),6
198830435,602098,2023-09-07 23:56:42,2023-09-08 00:00:59,Kołłątaja / Podwale,Poza stacją,5
198829879,602143,2023-09-07 23:48:38,2023-09-08 00:01:04,Drobnera / Plac Bema,Legnicka / Młodych Techników,13
198830531,602032,2023-09-07 23:58:13,2023-09-08 00:01:46,Legnicka / Zachodnia ,Legnicka (Park Magnolia),4
198829868,602439,2023-09-07 23:48:26,2023-09-08 00:01:50,Hubska / Prudnicka,Jagodzińska / Buforowa,14
198830456,604232,2023-09-07 23:57:07,2023-09-08 00:02:14,Poza stacją,Plac Dominikański (Galeria Dominikańska),6
198830231,604067,2023-09-07 23:53:55,2023-09-08 00:02:23,Plac Jana Pawła II (Akademia Muzyczna),Rynek,9
198830227,603742,2023-09-07 23:53:52,2023-09-08 00:02:49,Kazimierza Wielkiego (Helios),Kołłątaja / Podwale,9
198830045,602643,2023-09-07 23:51:10,2023-09-08 00:03:03,Gliniana / Gajowa,Świdnicka / Piłsudskiego (Hotel Scandic),12
198829684,603493,2023-09-07 23:45:55,2023-09-08 00:03:21,Nyska / Jesionowa,Nowowiejska / Górnickiego,18
198830134,604436,2023-09-07 23:52:27,2023-09-08 00:03:29,Plac Uniwersytecki (UWr),Plac Dominikański (Galeria Dominikańska),12
198830659,602895,2023-09-08 00:00:19,2023-09-08 00:03:40,Nowowiejska / Jedności Narodowej,Jedności Narodowej / Wyszyńskiego,4
198830437,603240,2023-09-07 23:56:43,2023-09-08 00:03:41,Dyrekcyjna / Borowska (Wroclavia),Zaporoska / Gajowicka,7
198830405,603564,2023-09-07 23:56:20,2023-09-08 00:03:42,Zaporoska / Grabiszyńska,Zaporoska / Grabiszyńska,8
198830658,603704,2023-09-08 00:00:19,2023-09-08 00:03:45,Nowowiejska / Jedności Narodowej,Jedności Narodowej / Wyszyńskiego,4
198829933,603181,2023-09-07 23:49:32,2023-09-08 00:03:50,"Paprotna / Obornicka, zajezdnia MPK",Aleja Kromera,15
198830297,604041,2023-09-07 23:54:54,2023-09-08 00:03:53,al. Armii Krajowej / Borowska,al. Armii Krajowej / Bardzka,9
198826975,604522,2023-09-07 23:10:53,2023-09-08 00:04:12,Kazimierza Wielkiego (Helios),Chałubińskiego / Mikulicza-Radeckiego,54
198830833,602396,2023-09-08 00:03:28,2023-09-08 00:04:19,Ślężna / Aleja Wiśniowa,Ślężna / Aleja Wiśniowa,1
198830590,602262,2023-09-07 23:59:07,2023-09-08 00:04:23,Powstańców Śląskich (Arkady Wrocławskie),Zaporoska / Grabiszyńska,6
198830826,603696,2023-09-08 00:03:17,2023-09-08 00:04:28,Ślężna / Aleja Wiśniowa,Ślężna / Aleja Wiśniowa,2
198830540,603965,2023-09-07 23:58:22,2023-09-08 00:04:38,Drobnera / Plac Bema,Wyszyńskiego / Szczytnicka,7
198830798,602193,2023-09-08 00:02:55,2023-09-08 00:04:45,Ślężna / Aleja Wiśniowa,Ślężna / Aleja Wiśniowa,2
198830874,604232,2023-09-08 00:04:05,2023-09-08 00:05:22,Plac Dominikański (Galeria Dominikańska),Plac Dominikański (Galeria Dominikańska),2
198830996,602229,2023-09-08 00:05:50,2023-09-08 00:06:14,Wysoka Nastrojowa,Wysoka Nastrojowa,1
198831049,604544,2023-09-08 00:06:37,2023-09-08 00:06:57,Nowowiejska / Górnickiego,Nowowiejska / Górnickiego,1
198831016,603268,2023-09-08 00:06:08,2023-09-08 00:07:01,Powstańców Śląskich (Arkady Wrocławskie),Poza stacją,1
198826998,603495,2023-09-07 23:11:22,2023-09-08 00:07:03,Kazimierza Wielkiego (Helios),Chałubińskiego / Mikulicza-Radeckiego,56
198830555,602662,2023-09-07 23:58:32,2023-09-08 00:07:10,Poza stacją,Drobnera / Dubois,9
198830618,604348,2023-09-07 23:59:34,2023-09-08 00:07:16,Mościckiego (stacja kolejowa),Ziemniaczana/Boiskowa,8
198830448,603456,2023-09-07 23:56:53,2023-09-08 00:07:19,Rynek,Legnicka / Młodych Techników,11
198830667,603177,2023-09-08 00:00:29,2023-09-08 00:07:19,Nowowiejska / Jedności Narodowej,Aleja Kromera,7
198830757,603195,2023-09-08 00:02:03,2023-09-08 00:07:19,Zaporoska / Grabiszyńska,Grabiszyńska / Stalowa,6
198830536,604511,2023-09-07 23:58:19,2023-09-08 00:07:26,Rynek,Legnicka / Młodych Techników,10
198829972,603728,2023-09-07 23:50:01,2023-09-08 00:08:13,Przyjaźni / Karkonoska,Fosa Miejska ,19
198831085,604477,2023-09-08 00:07:13,2023-09-08 00:08:24,Nowowiejska / Górnickiego,Nowowiejska / Górnickiego,2
198830924,602844,2023-09-08 00:04:56,2023-09-08 00:08:40,Poza stacją,Kołłątaja / Podwale,4
198831200,603877,2023-09-08 00:09:04,2023-09-08 00:09:23,Grabiszyńska / Aleja Hallera,Grabiszyńska / Aleja Hallera,1
198831232,604572,2023-09-08 00:09:49,2023-09-08 00:10:08,Grabiszyńska / Aleja Hallera,Grabiszyńska / Aleja Hallera,1
198830837,602708,2023-09-08 00:03:35,2023-09-08 00:10:33,Piaskowa / św. Ducha,Nowowiejska / Wyszyńskiego,7
198830629,603731,2023-09-07 23:59:43,2023-09-08 00:11:03,al. Karkonoska / Jeździecka,Czekoladowa / Wałbrzyska,12
198830558,602099,2023-09-07 23:58:34,2023-09-08 00:11:17,al. Karkonoska / Jeździecka,Czekoladowa / Wałbrzyska,13
198830748,603835,2023-09-08 00:01:51,2023-09-08 00:11:19,Plac Grunwaldzki / Polaka,Wróblewskiego (Teki),10
198830911,602643,2023-09-08 00:04:44,2023-09-08 00:11:23,Świdnicka / Piłsudskiego (Hotel Scandic),Plac Jana Pawła II (Akademia Muzyczna),7
198830917,604207,2023-09-08 00:04:53,2023-09-08 00:11:37,Poza stacją,Poza stacją,7
198830433,602884,2023-09-07 23:56:40,2023-09-08 00:11:42,Skarbowców / Wietrzna,Grabiszyńska / Stalowa,16
198831241,603980,2023-09-08 00:09:59,2023-09-08 00:12:21,Poza stacją,al. Armii Krajowej / Bardzka,3
198830744,602280,2023-09-08 00:01:46,2023-09-08 00:12:27,Szewska / Kazimierza Wielkiego ,Szczęśliwa (Sky Tower),11
198830708,603928,2023-09-08 00:01:08,2023-09-08 00:12:35,Lotnicza / Bajana,Poza stacją,12
198831124,603709,2023-09-08 00:07:52,2023-09-08 00:12:42,Drobnera / Dubois,Nowowiejska / Jedności Narodowej,5
198831077,604154,2023-09-08 00:07:06,2023-09-08 00:14:14,al. Karkonoska / Jeździecka,Wysoka Nastrojowa,8
198831042,603966,2023-09-08 00:06:31,2023-09-08 00:14:24,Wysoka Nastrojowa,al. Karkonoska / Jeździecka,8
198830861,603264,2023-09-08 00:03:56,2023-09-08 00:15:03,al. Armii Krajowej / Tarnogajska,Opolska / Siemianowicka,12
198830906,602915,2023-09-08 00:04:41,2023-09-08 00:15:03,Jagiełły / Dmowskiego ,Popowicka / Rysia,11
198831444,602301,2023-09-08 00:14:07,2023-09-08 00:15:09,Aleja Kromera,Aleja Kromera,2
198830944,602272,2023-09-08 00:05:09,2023-09-08 00:15:20,Jagiełły / Dmowskiego ,Popowicka / Rysia,11
198831403,604232,2023-09-08 00:13:22,2023-09-08 00:16:44,Plac Dominikański (Galeria Dominikańska),Piaskowa / św. Ducha,4
198830894,603233,2023-09-08 00:04:27,2023-09-08 00:17:14,Legnicka / Zachodnia ,Piłsudskiego 13 od Jump Hall,13
198830883,603128,2023-09-08 00:04:16,2023-09-08 00:17:16,Legnicka / Zachodnia ,Piłsudskiego 13 od Jump Hall,13
198831603,603564,2023-09-08 00:17:23,2023-09-08 00:17:47,Zaporoska / Grabiszyńska,Zaporoska / Grabiszyńska,1
198831114,603858,2023-09-08 00:07:42,2023-09-08 00:18:09,pl. Orląt Lwowskich,Dworzec Główny ,11
198830857,602098,2023-09-08 00:03:50,2023-09-08 00:18:10,Poza stacją,Rondo Reagana,15
198831377,604470,2023-09-08 00:12:53,2023-09-08 00:18:12,Grota-Roweckiego / Parafialna,Poza stacją,6
198831172,602312,2023-09-08 00:08:38,2023-09-08 00:18:55,Nowowiejska / Górnickiego,Na Grobli (PWr - Geocentrum),11
198831225,602197,2023-09-08 00:09:40,2023-09-08 00:19:07,Grabiszyńska / Aleja Hallera,Pereca / Grabiszyńska,10
198831667,602280,2023-09-08 00:18:40,2023-09-08 00:19:08,Szczęśliwa (Sky Tower),Szczęśliwa (Sky Tower),1
198831507,604346,2023-09-08 00:15:26,2023-09-08 00:19:13,Aleja Kromera,al. Brücknera / Kwidzyńska,4
198831358,603996,2023-09-08 00:12:18,2023-09-08 00:19:14,Bacciarellego,Poza stacją,7
198828304,603055,2023-09-07 23:27:20,2023-09-08 00:19:15,Dworzec Główny ,Plac Grunwaldzki / Polaka,52
198831595,602262,2023-09-08 00:17:14,2023-09-08 00:19:52,Zaporoska / Grabiszyńska,Zaporoska / Grabiszyńska,3
198831266,602065,2023-09-08 00:10:29,2023-09-08 00:19:58,Grabiszyńska / Aleja Hallera,Pereca / Grabiszyńska,10
198831691,603399,2023-09-08 00:19:18,2023-09-08 00:20:11,Rynek,Rynek,1
198831153,652055,2023-09-08 00:08:18,2023-09-08 00:20:12,Poza stacją,Poza stacją,12
198831456,603779,2023-09-08 00:14:20,2023-09-08 00:20:16,Zaporoska / Gajowicka,Komandorska / Kamienna,6
198831272,603268,2023-09-08 00:10:39,2023-09-08 00:20:27,Poza stacją,Komandorska / Kamienna,10
198831171,603339,2023-09-08 00:08:37,2023-09-08 00:20:32,Drobnera / Plac Bema,Młodych Techników,12
198831713,652113,2023-09-08 00:19:43,2023-09-08 00:20:38,Legnicka / Młodych Techników,Poza stacją,1
198831244,602395,2023-09-08 00:10:02,2023-09-08 00:21:52,Poza stacją,Poza stacją,12
198831187,603181,2023-09-08 00:08:52,2023-09-08 00:21:55,Aleja Kromera,Krzywoustego - Rynek Psie Pole,14
198831433,604041,2023-09-08 00:13:58,2023-09-08 00:22:04,al. Armii Krajowej / Bardzka,Świeradowska / Krynicka,9
198831537,603643,2023-09-08 00:16:08,2023-09-08 00:23:41,Kołłątaja / Podwale,Zaporoska / Grabiszyńska,8
198831147,604180,2023-09-08 00:08:09,2023-09-08 00:24:04,Drobnera / Plac Bema,Zachodnia / Poznańska,16
198831781,602218,2023-09-08 00:20:56,2023-09-08 00:24:10,Legnicka / Młodych Techników,Młodych Techników,4
198831647,603564,2023-09-08 00:18:20,2023-09-08 00:24:42,Zaporoska / Grabiszyńska,Zaporoska / Grabiszyńska,7
198831625,604117,2023-09-08 00:17:48,2023-09-08 00:24:43,Mickiewicza / pętla tramwajowa,Marca Polo (Olimpia Port),7
198831692,602171,2023-09-08 00:19:18,2023-09-08 00:25:13,Szczęśliwa (Sky Tower),Powstańcow Śląskich / Aleja Hallera,6
198831660,603017,2023-09-08 00:18:34,2023-09-08 00:25:18,Rondo Reagana,al. Kochanowskiego / Śniadeckich ,7
198831628,603511,2023-09-08 00:17:54,2023-09-08 00:25:23,Szczęśliwa (Sky Tower),Powstańcow Śląskich / Aleja Hallera,8
198830763,603871,2023-09-08 00:02:10,2023-09-08 00:25:27,Piaskowa / św. Ducha,Poza stacją,24
198831021,604139,2023-09-08 00:06:11,2023-09-08 00:26:32,Wita Stwosza / Szewska,Sienkiewicza / Wyszyńskiego,21
198831071,603726,2023-09-08 00:07:00,2023-09-08 00:26:36,Kołłątaja / Podwale,Grabiszyńska / Stalowa,20
198831048,604436,2023-09-08 00:06:36,2023-09-08 00:26:56,Plac Dominikański (Galeria Dominikańska),Zaporoska / Grabiszyńska,21
198832034,604067,2023-09-08 00:26:26,2023-09-08 00:27:15,Rynek,Poza stacją,1
198831122,602620,2023-09-08 00:07:50,2023-09-08 00:27:23,Kozanowska Pilczyce,Świdnicka / Piłsudskiego (Hotel Scandic),20
198831740,604291,2023-09-08 00:20:19,2023-09-08 00:27:58,"Dworzec Główny, południe",Poza stacją,8
198831577,603371,2023-09-08 00:16:56,2023-09-08 00:28:55,Piaskowa / św. Ducha,Żmigrodzka / Broniewskiego,12
198831847,603966,2023-09-08 00:22:35,2023-09-08 00:29:36,al. Karkonoska / Jeździecka,Wysoka Nastrojowa,8
198829899,602067,2023-09-07 23:49:04,2023-09-08 00:30:19,Legnicka / Zachodnia ,Wojanowska / Arbuzowa ,42
198831657,603128,2023-09-08 00:18:34,2023-09-08 00:30:29,Piłsudskiego 13 od Jump Hall,Komandorska / Sanocka,12
198831675,604002,2023-09-08 00:18:49,2023-09-08 00:30:29,pl. Orląt Lwowskich,"Dworzec Główny, południe",12
198831679,603233,2023-09-08 00:18:52,2023-09-08 00:30:33,Piłsudskiego 13 od Jump Hall,Komandorska / Sanocka,12
198831672,604245,2023-09-08 00:18:46,2023-09-08 00:30:45,pl. Orląt Lwowskich,"Dworzec Główny, południe",12
198832161,602501,2023-09-08 00:29:19,2023-09-08 00:30:47,Krucza / Mielecka / Stalowa,Krucza / Mielecka / Stalowa,2
198831710,603728,2023-09-08 00:19:38,2023-09-08 00:31:08,Fosa Miejska ,Wyszyńskiego / Szczytnicka,12
198831130,602655,2023-09-08 00:07:53,2023-09-08 00:31:41,Kazimierza Wielkiego (Helios),Kozanowska Pilczyce,24
198831499,604037,2023-09-08 00:15:14,2023-09-08 00:31:43,Poza stacją,Ślężna / Aleja Wiśniowa,17
198832143,604322,2023-09-08 00:29:01,2023-09-08 00:32:02,Poza stacją,Plac Dominikański (Galeria Dominikańska),4
198832044,603171,2023-09-08 00:26:40,2023-09-08 00:32:29,Poza stacją,Świdnicka / Piłsudskiego (Hotel Scandic),6
198830049,604008,2023-09-07 23:51:13,2023-09-08 00:32:59,Drobnera / Dubois,Jerzmanowska,42
198832398,602981,2023-09-08 00:34:11,2023-09-08 00:34:37,Piaskowa / św. Ducha,Piaskowa / św. Ducha,1
198832276,602242,2023-09-08 00:31:39,2023-09-08 00:34:42,Traugutta / Pułaskiego,Traugutta / Pułaskiego,4
198832144,602724,2023-09-08 00:29:02,2023-09-08 00:34:47,Poza stacją,Piławska,6
198832189,604532,2023-09-08 00:29:56,2023-09-08 00:35:19,Borowska (Uniw. Szpital Kliniczny),Grota-Roweckiego / Parafialna,6
198832030,602074,2023-09-08 00:26:21,2023-09-08 00:35:24,Szewska / Kazimierza Wielkiego ,Drobnera / Plac Bema,10
198832246,602956,2023-09-08 00:30:58,2023-09-08 00:35:33,Krucza / Mielecka / Stalowa,Grabiszyńska / Stalowa,5
198831684,602403,2023-09-08 00:19:01,2023-09-08 00:36:26,Aleja Hallera / Mielecka,Poza stacją,18
198832197,602212,2023-09-08 00:30:04,2023-09-08 00:36:33,Bezpieczna / Obornicka,Kraszewskiego / Trzebnicka,7
198832358,603709,2023-09-08 00:33:15,2023-09-08 00:36:38,Nowowiejska / Jedności Narodowej,Żeromskiego / Daszyńskiego,4
198832176,603332,2023-09-08 00:29:39,2023-09-08 00:37:01,Krucza / Mielecka / Stalowa,Zaporoska / Wielka / Krucza,8
198831868,603246,2023-09-08 00:23:01,2023-09-08 00:37:06,Poza stacją,Poza stacją,15
198832514,604298,2023-09-08 00:36:57,2023-09-08 00:37:18,Świeradowska (Ferio Gaj ),Świeradowska (Ferio Gaj ),1
198831901,604207,2023-09-08 00:23:49,2023-09-08 00:37:19,Poza stacją,Kozanowska Pilczyce,14
198832499,603831,2023-09-08 00:36:32,2023-09-08 00:37:21,Kościuszki / Komuny Paryskiej / Zgodna,Kościuszki / Komuny Paryskiej / Zgodna,1
198831088,604230,2023-09-08 00:07:15,2023-09-08 00:37:46,Zaporoska / Gajowicka,Krucza / Mielecka / Stalowa,31
198831414,602419,2023-09-08 00:13:36,2023-09-08 00:38:33,Szczęśliwa (Sky Tower),Skarbowców / Wietrzna,25
198830727,603955,2023-09-08 00:01:26,2023-09-08 00:38:35,Szewska / Kazimierza Wielkiego ,Skarbowców / Wietrzna,38
198831480,603021,2023-09-08 00:14:52,2023-09-08 00:39:14,Skarbowców / Wietrzna,Świeradowska / Krynicka,25
198832442,602620,2023-09-08 00:35:12,2023-09-08 00:39:32,Świdnicka / Piłsudskiego (Hotel Scandic),Szczęśliwa (Sky Tower),5
198831779,603041,2023-09-08 00:20:53,2023-09-08 00:39:41,Pereca / Grabiszyńska,Ślężna / Aleja Wiśniowa,19
198832136,603752,2023-09-08 00:28:48,2023-09-08 00:40:17,Jagiełły / Dmowskiego ,Legnicka (Park Magnolia),12
198829917,603005,2023-09-07 23:49:20,2023-09-08 00:41:13,Marca Polo (Olimpia Port),Śrubowa / Strzegomska,52
198829958,602993,2023-09-07 23:49:50,2023-09-08 00:41:18,Marca Polo (Olimpia Port),Śrubowa / Strzegomska,52
198832360,604002,2023-09-08 00:33:21,2023-09-08 00:41:24,"Dworzec Główny, południe",Szewska / Kazimierza Wielkiego ,9
198832359,604245,2023-09-08 00:33:20,2023-09-08 00:41:27,"Dworzec Główny, południe",Szewska / Kazimierza Wielkiego ,9
198832667,604028,2023-09-08 00:41:06,2023-09-08 00:41:31,Plac Powstańców Warszawy (Muzeum Narodowe),Plac Powstańców Warszawy (Muzeum Narodowe),1
198832163,603877,2023-09-08 00:29:24,2023-09-08 00:42:33,Grabiszyńska / Aleja Hallera,Mińska / Stanisławowska,14
198832486,604189,2023-09-08 00:36:10,2023-09-08 00:42:37,al. Armii Krajowej / Borowska,Nyska / Piękna,7
198832674,603798,2023-09-08 00:41:15,2023-09-08 00:44:02,Poza stacją,Piławska,3
198832301,602844,2023-09-08 00:31:59,2023-09-08 00:44:25,Kołłątaja / Podwale,Ślężna / Aleja Wiśniowa,13
198831452,602636,2023-09-08 00:14:19,2023-09-08 00:44:27,Bystrzycka / Idzikowskiego,Dworzec Główny ,31
198832286,604083,2023-09-08 00:31:49,2023-09-08 00:44:31,Kołłątaja / Podwale,Ślężna / Aleja Wiśniowa,13
198831376,603986,2023-09-08 00:12:53,2023-09-08 00:44:38,Drobnera / Plac Bema,"Olszewskiego, pętla tramwajowa",32
198832632,603653,2023-09-08 00:40:00,2023-09-08 00:45:04,Mińska / Stanisławowska,Graniczna / Strzegomska,6
198832393,602864,2023-09-08 00:33:59,2023-09-08 00:45:05,Grabiszyńska / Aleja Hallera,Strzegomska / Rogowska ,12
198832586,602773,2023-09-08 00:38:46,2023-09-08 00:45:41,Plac Powstańców Śląskich,Poza stacją,7
198832515,602142,2023-09-08 00:36:59,2023-09-08 00:47:41,Piaskowa / św. Ducha,Żeromskiego / Kluczborska,11
198832542,602369,2023-09-08 00:37:39,2023-09-08 00:47:41,Kościuszki / Komuny Paryskiej / Zgodna,Norwida / Wyspiańskiego (PWr),11
198832616,604109,2023-09-08 00:39:33,2023-09-08 00:48:05,Szczęśliwa (Sky Tower),Grabiszyńska / Stalowa,9
198832439,604009,2023-09-08 00:35:05,2023-09-08 00:48:16,Traugutta / Pułaskiego,Opolska / pętla tramwajowa,14
198831522,602643,2023-09-08 00:15:48,2023-09-08 00:48:50,Plac Jana Pawła II (Akademia Muzyczna),Maślicka / Stodolna,34
198832417,603103,2023-09-08 00:34:31,2023-09-08 00:50:33,Rynek,Szczęśliwa (Sky Tower),17
198832376,603240,2023-09-08 00:33:39,2023-09-08 00:51:03,Zaporoska / Gajowicka,al. Armii Krajowej / Borowska,18
198832362,602662,2023-09-08 00:33:22,2023-09-08 00:51:15,Drobnera / Dubois,Kamieńskiego,18
198832642,604524,2023-09-08 00:40:17,2023-09-08 00:51:15,Dworzec Główny ,Poza stacją,11
