UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
231810072,603061,2024-06-03 00:29:11,2024-06-06 01:57:15,Poza stacją,Poza stacją,4408
232325874,652009,2024-06-05 17:07:04,2024-06-06 06:03:03,Świdnicka / Piłsudskiego (Hotel Scandic),Poza stacją,776
232381515,603770,2024-06-05 20:29:23,2024-06-06 00:38:04,Powstańcow Śląskich / Aleja Hallera,Racławicka / Rymarska,249
232397540,603836,2024-06-05 22:01:26,2024-06-06 02:49:40,Nowowiejska / Górnickiego,Poza stacją,288
232401256,603544,2024-06-05 22:29:02,2024-06-06 00:05:04,Przyjaźni / Karkonoska,Solskiego / al. Piastów,96
232401379,604577,2024-06-05 22:29:59,2024-06-06 00:05:11,Przyjaźni / Karkonoska,Solskiego / al. Piastów,95
232402281,603026,2024-06-05 22:37:34,2024-06-06 01:14:23,Na Ostatnim Groszu,Lotnicza / Na Ostatnim Groszu,157
232403559,604389,2024-06-05 22:49:13,2024-06-06 01:28:23,Plac Powstańców Śląskich,Sienkiewicza / Piastowska,159
232403576,603363,2024-06-05 22:49:23,2024-06-06 01:21:54,Plac Powstańców Śląskich,Sienkiewicza / Piastowska,153
232404931,604006,2024-06-05 23:02:24,2024-06-06 01:19:29,Kazimierza Wielkiego (Helios),Świdnicka / Piłsudskiego (Hotel Scandic),137
232404963,602856,2024-06-05 23:02:41,2024-06-06 01:19:37,Kazimierza Wielkiego (Helios),Świdnicka / Piłsudskiego (Hotel Scandic),137
232405980,604148,2024-06-05 23:12:47,2024-06-06 00:33:29,Dworzec Główny ,Zaporoska / Grabiszyńska,81
232406983,603885,2024-06-05 23:24:48,2024-06-06 00:05:49,Pilczycka / Koszykarska,Bardzka / Piękna,41
232407486,602118,2024-06-05 23:31:13,2024-06-06 00:10:58,"Dworzec Główny, południe",Zwycięska / Ołtaszyńska,40
232408223,604094,2024-06-05 23:40:16,2024-06-06 00:01:16,pl. Orląt Lwowskich,Hubska / Prudnicka,21
232408649,602521,2024-06-05 23:46:19,2024-06-06 00:02:01,Rondo Reagana,Fosa Miejska ,16
232408757,603182,2024-06-05 23:48:04,2024-06-06 00:04:17,Plac Dominikański (Galeria Dominikańska),Gliniana / Gajowa,16
232408806,603260,2024-06-05 23:48:46,2024-06-06 00:04:03,Plac Dominikański (Galeria Dominikańska),Gliniana / Gajowa,15
232408941,603299,2024-06-05 23:50:38,2024-06-06 00:04:55,Plac Dominikański (Galeria Dominikańska),Legnicka / Zachodnia ,14
232409161,603631,2024-06-05 23:54:03,2024-06-06 00:08:12,Bacciarellego / pętla autobusowa,Partyzantów / Okrzei,14
232409168,602061,2024-06-05 23:54:14,2024-06-06 00:05:04,Poza stacją,Wojanowska / Arbuzowa ,11
232409171,603485,2024-06-05 23:54:16,2024-06-06 00:00:09,Grabiszyńska / Stalowa,Grabiszyńska / Aleja Hallera,6
232409219,604159,2024-06-05 23:54:58,2024-06-06 00:04:11,Plac Dominikański (Galeria Dominikańska),Sienkiewicza / Wyszyńskiego,9
232409243,602668,2024-06-05 23:55:19,2024-06-06 00:00:18,Dworzec Główny ,Świdnicka / Piłsudskiego (Hotel Scandic),5
232409282,602524,2024-06-05 23:55:56,2024-06-06 00:06:24,Świdnicka / Piłsudskiego (Hotel Scandic),al. Armii Krajowej / Bardzka,10
232409325,604241,2024-06-05 23:56:36,2024-06-06 00:03:09,Kamienna / Borowska (Aquapark),Nyska / Jesionowa,7
232409352,603179,2024-06-05 23:56:56,2024-06-06 00:02:21,Oporów (pętla tramwajowa),Solskiego / al. Piastów,5
232409416,603393,2024-06-05 23:58:04,2024-06-06 00:14:03,Ślężna / Kamienna (Uniw. Ekonomiczny),Świeradowska (Ferio Gaj ),16
232409419,602126,2024-06-05 23:58:08,2024-06-06 00:15:29,Poza stacją,Poza stacją,17
232409477,602335,2024-06-05 23:59:03,2024-06-06 00:06:06,Plac Dominikański (Galeria Dominikańska),Poza stacją,7
232409484,603747,2024-06-05 23:59:16,2024-06-06 00:18:23,Stacyjna (Dworzec Mikołajów),Osobowicka / Ostrowska,19
232409564,602387,2024-06-06 00:00:40,2024-06-06 00:15:17,Grabiszyńska / Aleja Hallera,Ślężna / Aleja Wiśniowa,15
232409583,602590,2024-06-06 00:00:56,2024-06-06 00:05:01,Nowowiejska / Jedności Narodowej,pl. Powstańców Wielkopolskich,4
232409688,602668,2024-06-06 00:02:32,2024-06-06 00:11:43,Świdnicka / Piłsudskiego (Hotel Scandic),Kazimierza Wielkiego (Helios),9
232409690,602986,2024-06-06 00:02:35,2024-06-06 00:11:34,Świdnicka / Piłsudskiego (Hotel Scandic),Kazimierza Wielkiego (Helios),9
232409709,603408,2024-06-06 00:02:55,2024-06-06 00:15:04,Poza stacją,Kościuszki / Komuny Paryskiej / Zgodna,12
232409710,603473,2024-06-06 00:03:00,2024-06-06 00:11:09,Komandorska / Sanocka,Kazimierza Wielkiego (Helios),8
232409738,602094,2024-06-06 00:03:20,2024-06-06 00:04:23,Plac Jana Pawła II (Akademia Muzyczna),Plac Jana Pawła II (Akademia Muzyczna),1
232409750,602654,2024-06-06 00:03:31,2024-06-06 00:08:09,Poza stacją,Kozanowska / Pilczycka,5
232409765,603579,2024-06-06 00:03:57,2024-06-06 00:23:26,Ślężna / Aleja Wiśniowa,Kopycińskiego/Drabika,19
232409815,603226,2024-06-06 00:05:04,2024-06-06 00:22:22,Drobnera / Dubois,Plac Legionów,17
232409875,602195,2024-06-06 00:06:12,2024-06-06 00:07:24,"Dworzec Główny, południe","Dworzec Główny, południe",1
232409904,603485,2024-06-06 00:06:46,2024-06-06 00:26:23,Grabiszyńska / Aleja Hallera,Graniczna / Strzegomska,20
232409958,603814,2024-06-06 00:07:59,2024-06-06 00:08:24,Jagiełły / Dmowskiego ,Jagiełły / Dmowskiego ,0
232409964,602731,2024-06-06 00:08:10,2024-06-06 00:09:27,Sienkiewicza / Wyszyńskiego,Sienkiewicza / Wyszyńskiego,1
232409989,602167,2024-06-06 00:08:36,2024-06-06 00:26:26,Kozanowska / Pilczycka,Klecińska / Duńska,18
232410019,603018,2024-06-06 00:09:17,2024-06-06 00:23:45,Świeradowska / Krynicka,Ślężna / pętla tramwajowa,14
232410037,602297,2024-06-06 00:09:41,2024-06-06 00:25:08,Aleja Hallera / Mielecka,Nyska / Piękna,15
232410054,604159,2024-06-06 00:09:58,2024-06-06 00:18:13,Sienkiewicza / Wyszyńskiego,Jedności Narodowej / Wyszyńskiego,8
232410055,602968,2024-06-06 00:09:58,2024-06-06 00:36:33,Żmigrodzka / Broniewskiego,Sołtysowicka / Redycka,27
232410108,602536,2024-06-06 00:11:10,2024-06-06 00:13:09,Plac Powstańców Warszawy (Muzeum Narodowe),Plac Powstańców Warszawy (Muzeum Narodowe),2
232410117,603879,2024-06-06 00:11:18,2024-06-06 00:16:42,Poza stacją,Poza stacją,5
232410219,602758,2024-06-06 00:13:20,2024-06-06 00:13:46,Plac Powstańców Warszawy (Muzeum Narodowe),Plac Powstańców Warszawy (Muzeum Narodowe),0
232410253,604273,2024-06-06 00:14:05,2024-06-06 00:19:12,Plac Powstańców Warszawy (Muzeum Narodowe),Wyszyńskiego / Szczytnicka,5
232410270,602377,2024-06-06 00:14:22,2024-06-06 00:22:33,Wróblewskiego (Teki),Rondo Reagana,8
232410274,602564,2024-06-06 00:14:25,2024-06-06 00:27:34,Plac Legionów,Gnieźnieńska / Długa,13
232410327,604292,2024-06-06 00:15:36,2024-06-06 00:30:15,Otyńska,Otyńska,15
232410335,602387,2024-06-06 00:15:51,2024-06-06 00:23:43,Ślężna / Aleja Wiśniowa,Świeradowska (Ferio Gaj ),8
232410340,603182,2024-06-06 00:15:58,2024-06-06 00:32:22,Gliniana / Gajowa,Świdnicka / Piłsudskiego (Hotel Scandic),16
232410348,602590,2024-06-06 00:16:05,2024-06-06 00:26:13,pl. Powstańców Wielkopolskich,Bezpieczna/Jugosławiańska,10
232410362,602126,2024-06-06 00:16:25,2024-06-06 00:19:26,Poza stacją,Poza stacją,3
232410447,602307,2024-06-06 00:18:33,2024-06-06 00:24:16,Sienkiewicza / Wyszyńskiego,Drobnera / Plac Bema,6
232410450,602791,2024-06-06 00:18:36,2024-06-06 00:22:28,Sienkiewicza / Wyszyńskiego,Drobnera / Plac Bema,4
232410494,603996,2024-06-06 00:19:34,2024-06-06 00:27:51,Wyszyńskiego / Szczytnicka,Poza stacją,8
232410505,603717,2024-06-06 00:19:52,2024-06-06 00:27:49,Kazimierza Wielkiego (Helios),Traugutta / Pułaskiego,8
232410578,603862,2024-06-06 00:21:43,2024-06-06 00:22:27,Krzywoustego / Korona,Krzywoustego / Korona,1
232410604,603417,2024-06-06 00:22:19,2024-06-06 00:26:33,Drobnera / Dubois,Drobnera / Plac Bema,4
232410607,602909,2024-06-06 00:22:24,2024-06-06 00:35:43,Drobnera / Dubois,Rondo Reagana,13
232410611,603260,2024-06-06 00:22:27,2024-06-06 00:31:15,Gliniana / Gajowa,Nyska / Piękna,9
232410624,602890,2024-06-06 00:22:41,2024-06-06 00:40:17,Drobnera / Dubois,Rondo Reagana,18
